curve (01).obj
-0.00970886 0.552564 0.304374
-0.178452 0.52917 0.61484
0.725121 0.61506 0.23006
0.647529 0.664921 -0.033237
0.644739 -0.309102 0.365043
-0.617426 0.439194 0.489157
-0.00942759 -0.543045 0.285509
0.687782 0.65422 -0.320477
0.608885 -0.0685034 0.286541
0.421451 0.543023 0.389922
-0.644275 0.201388 0.244528
-0.653267 0.639465 -0.00690364
0.694899 -0.714653 -0.555518
-0.644231 -0.0828183 0.385154
0.734618 0.706915 0.589022
-0.65408 -0.612578 -0.233761
0.626416 0.384415 0.468025
-0.417653 0.318334 0.524944
-0.753952 -0.702412 -0.582717
0.0928413 0.681664 0.556246
0.42142 -0.579724 0.458935
-0.672864 0.660037 -0.260313
0.723238 -0.641577 0.249608
-0.717425 0.654504 -0.503525
-0.282736 0.544407 0.358596
-0.565541 -0.546853 0.432465
0.716645 -0.670199 -0.0288782
0.0968942 -0.720975 0.57666
0.554464 0.709758 0.608274
0.730922 0.158992 0.583001
curve (02).obj
0.495694 0.343246 0.177163
-0.00511074 0.330061 0.109742
-0.655451 -0.335142 0.181879
0.493983 -0.445571 0.241367
0.282665 0.338999 0.0709557
0.737972 0.423936 -0.0662174
-0.709437 0.000534367 0.118503
-0.449549 0.329396 0.136158
0.709439 -0.0237436 0.123222
0.000413468 -0.350222 0.077077
-0.368429 -0.32524 0.140557
-0.754546 0.422521 -0.233531
0.104072 -0.00304033 0.20133
-0.735656 -0.397967 -0.191661
0.282698 -0.343882 0.112978
0.720245 -0.387053 0.00295203
-0.705553 0.412338 0.0545541
0.785989 -0.433664 -0.235017
0.760695 0.422475 0.198312
-0.762527 0.221504 0.242898
-0.762619 -0.108705 0.23594
0.782584 0.110949 0.243516
-0.271402 -0.0545899 0.201716
-0.271258 0.261191 0.199439
0.785024 -0.335016 0.24075
-0.0862972 -0.220641 0.248245
0.199078 0.437488 0.225712
-0.472228 0.111735 0.246001
-0.459103 -0.0538551 0.201725
-0.0862972 0.444321 0.243188
curve (03).obj
0.697945 -0.697945 0.639783
0.356727 -0.7057 0.504071
-0.561148 -0.648934 -0.15634
-0.782008 -0.195502 0.668284
0.697945 0.581621 0.504071
-0.647072 0.645832 0.319193
0.197869 -0.790421 0.685149
-0.391004 -0.78449 0.671423
0.78891 0.196355 0.701047
0.720279 -0.660101 0.197906
-0.591547 -0.570764 -0.639938
0.507483 0.589686 -0.202559
0.628461 -0.737961 -0.0316402
-0.644591 0.640868 -0.155719
0.568903 -0.509965 -0.417216
-0.73734 -0.732687 -0.0353625
-0.182241 0.728964 0.542846
-0.467778 -0.554634 -0.418147
-0.764017 0.572004 0.659791
0.789686 -0.592943 0.699186
0.387747 -0.775494 0.717177
0.561148 0.557425 -0.528577
-0.482978 0.560217 -0.53292
0.706941 0.710353 -0.080031
-4.62231e-008 -0.790074 0.682125
0.639938 -0.773943 0.366343
-0.790657 0.1974 0.687165
0.782008 0.782008 0.668476
-0.728965 0.728964 0.542846
-0.663203 -0.67406 0.201008
curve (07).obj
-0.715324 0.28527 0.700609
0.316401 0.684534 0.699363
-0.627253 -0.453149 0.793548
-0.453261 -0.486543 0.540427
0.791172 0.0553559 0.736041
-0.229913 -0.733098 0.749625
-0.75019 -0.204274 0.702193
-0.459487 0.500354 0.472053
0.103807 -0.769209 0.749852
-0.171388 0.720985 0.733098
0.642876 0.47443 0.759134
-0.763492 0.103467 0.701175
0.674799 -0.565898 0.719513
-0.626121 0.504089 0.74521
0.743853 -0.258894 0.70242
0.72574 0.558427 -0.723136
0.560579 0.493845 0.605858
0.632235 0.572803 0.208971
0.399718 -0.687987 0.771813
0.651027 0.542805 -0.232631
0.198614 -0.511391 0.555257
0.672762 -0.610952 0.269421
0.307798 0.520391 0.501712
-0.428469 0.726871 0.715212
0.635575 0.485638 -0.463167
-0.477373 -0.680572 0.703778
0.42349 -0.00781104 0.792189
-0.629517 0.568728 -0.256177
-0.0672417 0.0602236 0.791963
-0.0176587 0.521692 0.567539
curve (08).obj
0 -0.619564 0.789936
-0.461642 -0.418228 -0.728805
0.57294 0.275173 0.777715
-0.454634 -0.129191 -0.145109
-0.436303 0.174634 -0.168729
0.441078 -0.469525 0.456713
0.363594 0.451066 0.561951
-0.423107 0.434711 -0.622234
0.42249 0.42688 -0.711965
0.400513 -0.374121 -0.528216
0.423107 -0.226471 0.642695
-0.483902 -0.511065 0.288729
-0.495199 0.499847 0.222952
-0.501617 -0.467985 0.481411
0 0.211861 0.757587
-0.593452 0.408446 0.788601
-0.208986 0.450321 0.657356
0.515919 0.490834 0.0366624
0.236508 -0.0514259 -0.144466
0.030706 -0.434198 0.547882
-0.177382 -0.287934 -0.146417
0.459231 0.147985 -0.159203
0.535072 0.524416 0.79923
-0.61471 0.123543 0.796046
-0.423107 -0.170578 0.625674
0.454967 -0.47887 -0.110398
-0.417972 0.451142 0.546547
-0.57928 -0.316046 0.787625
-0.434943 0.474403 -0.21661
-0.424904 -0.448062 -0.196046
curve (09).obj
0.715388 0.167789 -0.336535
-0.452124 0.179457 0.230782
-0.754765 -0.151676 0.15415
0.773556 0.179457 0.364875
0.461306 -0.163344 0.235244
-0.638453 0.167789 -0.186609
0.00757216 0.167789 0.18347
-0.401995 -0.175011 0.232403
0.695355 -0.163344 0.107387
-0.784786 0.0631557 0.44251
0.70613 -0.151676 -0.391255
0.453618 0.191124 0.23301
-0.677737 -0.151676 -0.213397
-0.0171628 -0.00255516 0.466697
-0.703977 -0.163344 -0.463803
-0.730275 -0.23105 0.466697
0.0229381 -0.151676 0.191159
0.676679 0.202791 -0.0917818
0.00785217 0.202791 0.426363
-0.704712 0.191124 -0.436828
-0.742056 0.191124 0.0444529
0.00725713 -0.198346 0.383584
-0.377645 0.156122 0.432852
-0.766223 0.202791 0.329185
-0.370149 -0.211807 0.466697
-0.759421 -0.151676 0.387487
0.713883 -0.151676 0.434436
0.39059 0.156122 0.425036
0.00611956 -0.151676 0.366532
0.799673 0.00173845 0.466697
curve (12).obj
-0.0677014 -0.517374 0.691016
0.631288 -0.409696 -0.496088
0.788186 -0.384491 0.741401
0.756569 0.21758 0.743025
0.700971 0.456786 0.71415
-0.729682 0.10836 0.711596
0.132336 0.395787 0.691275
0.525822 -0.43603 0.79647
0.756569 -0.0551509 0.736353
0.206836 -0.461592 0.329027
-0.664305 -0.458151 0.640301
0.675307 0.386939 -0.27679
-0.692708 0.512175 0.0364747
0.716315 0.543178 -0.647173
-0.707795 0.502818 0.494346
0.66014 0.516515 0.0678002
0.609872 -0.21219 0.538907
-0.545343 -0.348191 0.79647
-0.556522 0.420945 0.689981
